815.87	537260
988.7	535523
1356.9	528043
644.14	631897
654.02	1063514
575.84	1010765
1425.43	535562
1688.36	546061
279.91	714279
1792.52	527808
310.45	778395
733.39	550565
1159.07	535338
1517.28	1101410
1049.34	639645
651.4	566999
365.81	589651
535.7	922628
656.12	989021
2087.66	537946
299.11	711135
480.99	722636
1457.88	535211
1651.75	536402
764.28	636549
222.97	678877
293.92	1186265
152.28	795590
455.19	595544
681.14	643319
1508.62	535071
337.47	1008980
874.31	1000862
296.17	720471
301.57	1014298
332.31	845796
195.83	985983
280.98	1300684
1302.89	534158
904.72	535656
1056.06	616175
445.99	862786
2385.9	561210
786.7	631650
1706.78	528112
757.69	834047
689.98	944883
935.03	686287
301	745087
1494.88	1020823
1213.61	546579
1335.31	696392
909.85	532887
2030.84	561833
604.19	622298
342.64	630546
950.07	716441
1793.74	536402
1738.31	536422
1860.28	537260
578.59	652235
1500.7	535118
160.2	795520
2016.85	528112
1054.17	716441
1875.99	535742
1323.67	535523
1817.49	529830
1807.76	528112
1124.85	631650
879.16	679658
2117.23	716441
1072.09	528298
2075.76	535380
371.01	1170267
623.35	609179
331.47	630546
3062.78	1101410
546.83	1003587
999.65	537354
765.45	589514
1035.42	566999
661.21	566999
1282.29	546579
1353.14	540321
502.08	788957
1991.01	532864
1512.12	537053
863.24	549386
2110.52	609711
1711.26	535523
1651.36	566999
1084.43	714279
1830.63	528298
3797.29	652235
1103.65	643249
1102.43	834047
956.48	1240994
2272.38	527558
701.2	566999
473.11	574329
672.53	589651
288.52	775438
504.49	664724
417.61	575586
2613.52	528298
401.53	993379
394.27	678877
743.03	557102
701.91	584451
280.53	993379
933.42	636660
1575.09	536706
850.55	606995
370.11	694765
951.63	529681
860.47	537492
65.38	1122553
180.43	988566
566.27	634230
326.03	628624
1811.52	556223
1828.1	549291
636.68	676127
1621.15	537053
701.19	788957
1325.07	550467
789.73	642043
278.68	789027
639.25	571512
371.18	630546
296.68	1094904
233.65	677605
262.4	795520
262.4	795520
375.68	795520
1398.55	553039
408.16	795520
316.83	985983
248.28	619148
388.8	788957
80.33	1140828
1413.48	619101
644.6	676057
1317.48	795520
1317.48	795520
487.89	1122483
298.6	659773
465.04	896655
217.14	1108094
256.2	619101
678.19	676057
1443.88	788957
135.86	797825
574.79	795520
133.2	1075300
670.79	619101
563.24	539124
95.38	662256
109.28	706416
472.96	896585
1246.92	533084
125.28	1075370
73.28	1094974
495.79	1094904
321.26	1122483
288.78	1122483
255.28	1075424
486.16	534323
3552.39	1122483
908.56	536357
351.26	662209
329.16	1094904
517.89	662209
440.54	1108024
470.68	620549
415.14	663632
639.65	1108024
332.68	706369
318.78	662209
3582.39	662209
534.56	788957
65.59	1178642
